sample_id	source_path	n_tr_calls	n_unique_tr_sites	n_unique_tr_subtypes	median_change_size_bp	max_change_size_bp	median_alt_support_reads	n_group_a_only	n_group_b_only
SMHT043-3AM-001MC-M52-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT043-3AM-001MC-M52-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	57.0	57.0	4.0	1	0
SMHT043-3AN-002MC-M52-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT043-3AN-002MC-M52-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	1481.0	1481.0	9.0	1	0
SMHT001-3AL-001B2-M42-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT001-3AL-001B2-M42-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT001-3AM-002A2-M42-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT001-3AM-002A2-M42-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT001-3AN-001B1-M42-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT001-3AN-001B1-M42-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT005-3AK-001C4-M59-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AK-001C4-M59-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT005-3AK-001D1-M59-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AK-001D1-M59-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT005-3AL-001B1-M59-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AL-001B1-M59-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT005-3AL-001C2-M59-B004-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AL-001C2-M59-B004-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
SMHT005-3AM-001C3-M59-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT005-3AM-001C3-M59-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	0	0	0				0	0
